#hg19.refGene.name	hg19.refGene.chrom	hg19.refGene.txStart	hg19.refGene.txEnd	hgFixed.refLink.name	hgFixed.refLink.geneName
NM_001350218	chr1	66999638	67216822	SGIP1	154182
NM_001350217	chr1	66999638	67216822	SGIP1	154182
NM_001308203	chr1	66999251	67216822	SGIP1	154182
NM_032291	chr1	66999638	67216822	SGIP1	154182
NM_001350398	chr1	33546713	33586132	AZIN2	258884
NR_146649	chr1	33546713	33586132	AZIN2	258884
NR_146648	chr1	33546729	33586132	AZIN2	258884
NR_126031	chr1	33547778	33567493	AZIN2	258884
NR_136623	chr1	48998526	50489626	AGBL4	156181
NM_001323575	chr1	48998526	50489626	AGBL4	156181
NM_001323574	chr1	48998526	50489626	AGBL4	156181
NM_001323573	chr1	48998526	50489626	AGBL4	156181
NM_001293562	chr1	33546713	33586132	AZIN2	258884
NM_001145278	chr1	16767166	16786584	NECAP2	80434
NM_001145277	chr1	16767166	16786584	NECAP2	80434
NM_001350402	chr1	33547778	33586132	AZIN2	258884
NM_001350401	chr1	33546713	33586132	AZIN2	258884
NM_001350400	chr1	33546713	33586132	AZIN2	258884
NM_001350399	chr1	33546729	33586132	AZIN2	258884
NM_032785	chr1	48998526	50489626	AGBL4	156181
NM_001301825	chr1	33547778	33586132	AZIN2	258884
NM_001301824	chr1	33546729	33586132	AZIN2	258884
NM_001301823	chr1	33546729	33586132	AZIN2	258884
NM_013943	chr1	25071759	25170815	CLIC4	21533
NM_018090	chr1	16767166	16786584	NECAP2	80434
NM_001080397	chr1	8378144	8404227	SLC45A1	195038
NM_001301826	chr1	33547778	33567493	AZIN2	258884
NM_052998	chr1	33546713	33586132	AZIN2	258884
NM_003243	chr1	92145899	92351836	TGFBR3	76264
NM_001195684	chr1	92145899	92371559	TGFBR3	76264
NM_001195683	chr1	92145899	92351836	TGFBR3	76264
NR_036634	chr1	92145899	92351836	TGFBR3	76264
NM_001918	chr1	100652477	100715409	DBT	61425
NM_001303229	chr1	150980866	151008189	PRUNE1	311133
NM_001303243	chr1	150980866	151008189	PRUNE1	311133
NM_001303242	chr1	150980866	151008189	PRUNE1	311133
NR_130135	chr1	150980866	151008189	PRUNE1	311133
NR_130132	chr1	150980866	151008189	PRUNE1	311133
NR_130131	chr1	150980866	151008189	PRUNE1	311133
NR_130130	chr1	150980866	151008189	PRUNE1	311133
NM_030806	chr1	184356149	184598155	C1orf21	153264
NM_001286644	chr1	175913961	176176380	RFWD2	23476
NM_022457	chr1	175913961	176176380	RFWD2	23476
NM_021222	chr1	150980866	151008189	PRUNE1	311133
NM_001001740	chr1	175913961	176176380	RFWD2	23476
NM_173083	chr1	226418849	226497204	LIN9	154323
NM_001270410	chr1	226418849	226497449	LIN9	154323
NM_001270409	chr1	226418849	226497204	LIN9	154323
NM_001330306	chr1	1017197	1051736	C1orf159	151894
NM_017891	chr1	1017197	1051736	C1orf159	151894
NM_001350806	chr1	2004900	2116838	PRKCZ	82857
NM_001350803	chr1	2004900	2116838	PRKCZ	82857
NM_012405	chr1	6281252	6296044	ICMT	153230
NM_001242874	chr1	2005424	2116838	PRKCZ	82857
NM_001350804	chr1	2004900	2116838	PRKCZ	82857
NM_001349610	chr1	6845383	7829766	CAMTA1	20625
NM_001349609	chr1	6845383	7829766	CAMTA1	20625
NM_002744	chr1	1981908	2116838	PRKCZ	82857
NM_015215	chr1	6845383	7829766	CAMTA1	20625
NM_022114	chr1	2985741	3355185	PRDM16	144980
NM_001349612	chr1	6845383	7829766	CAMTA1	20625
NM_001349608	chr1	6845383	7829766	CAMTA1	20625
NM_001350805	chr1	2005424	2116838	PRKCZ	82857
NR_146911	chr1	2004900	2116838	PRKCZ	82857
NM_199454	chr1	2985741	3355185	PRDM16	144980
NM_001033582	chr1	2036154	2116838	PRKCZ	82857
NM_001033581	chr1	2004900	2116838	PRKCZ	82857
NM_001099850	chr1	13328195	13698405	PRAMEF18	272306
NM_001291381	chr1	13629931	13635299	PRAMEF33	309467
NR_149058	chr1	14675449	14746469	KAZN-AS1	439586
NM_001039361	chr1	13629924	13635299	PRAMEF10	155873
NR_046507	chr1	20969149	20978686	PINK1-AS	324288
NM_001350166	chr1	22005071	22109692	USP48	151760
NM_001350164	chr1	22005071	22109692	USP48	151760
NM_032409	chr1	20959947	20978004	PINK1	83641
NM_001309193	chr1	23037330	23247993	EPHB2	142931
NM_001309192	chr1	23037330	23247993	EPHB2	142931
NM_004442	chr1	23037330	23247993	EPHB2	142931
NM_001330394	chr1	22005071	22109692	USP48	151760
NM_001350168	chr1	22005071	22109692	USP48	151760
NM_017449	chr1	23037330	23247993	EPHB2	142931
NM_001350167	chr1	22005071	22109692	USP48	151760
NM_032236	chr1	22005071	22109692	USP48	151760
NM_006559	chr1	32479294	32509482	KHDRBS1	81256
NM_001166007	chr1	29213602	29446558	EPB41	154108
NM_001145454	chr1	26210676	26232993	STMN1	79236
NR_073499	chr1	32479294	32526460	KHDRBS1	81256
NR_073498	chr1	32479294	32509482	KHDRBS1	81256
NM_001271878	chr1	32479294	32509482	KHDRBS1	81256
NM_014676	chr1	31404352	31538564	PUM1	20567
NM_006600	chr1	27248212	27273362	NUDC	35081
NM_001282562	chr1	28296854	28415148	EYA3	146026
NM_001282561	chr1	28296854	28415148	EYA3	146026
NM_001282560	chr1	28303783	28415148	EYA3	146026
NM_001166005	chr1	29213602	29446558	EPB41	154108
NM_203343	chr1	29213602	29446558	EPB41	154108
NM_203342	chr1	29213602	29446558	EPB41	154108
NM_001990	chr1	28296854	28415148	EYA3	146026
NM_004437	chr1	29213602	29446558	EPB41	154108
NM_001166006	chr1	29241087	29391733	EPB41	154108
NM_001020658	chr1	31404352	31538564	PUM1	20567
NM_005119	chr1	36690016	36770957	THRAP3	151362
NM_001281956	chr1	33979598	34630875	CSMD2	141966
NM_001321473	chr1	36690012	36770957	THRAP3	151362
NM_001321471	chr1	36690012	36770957	THRAP3	151362
NR_136703	chr1	35641978	35658746	SFPQ	41705
NR_136702	chr1	35641978	35658746	SFPQ	41705
NM_005066	chr1	35649200	35658743	SFPQ	41705
NM_012090	chr1	39549838	39952810	MACF1	74587
NM_052896	chr1	33979598	34631443	CSMD2	141966
NM_001355224	chr1	42929024	43119861	CCDC30	202332
NM_001355226	chr1	42921740	43119861	CCDC30	202332
NM_001355227	chr1	42929386	43119861	CCDC30	202332
NM_021639	chr1	46092975	46152302	GPBP1L1	152460
NM_130440	chr1	43996530	44089343	PTPRF	4455
NM_001319956	chr1	44870831	45117396	RNF220	82522
NM_001194986	chr1	48226199	48462562	TRABD2B	397989
NM_002840	chr1	43996530	44089343	PTPRF	4455
NM_001319957	chr1	44889495	45117396	RNF220	82522
NM_018150	chr1	44870831	45117396	RNF220	82522
NM_001329140	chr1	43996530	44089343	PTPRF	4455
NM_001329139	chr1	43996530	44089343	PTPRF	4455
NM_001329138	chr1	43991707	44089343	PTPRF	4455
NM_001329137	chr1	43991707	44089343	PTPRF	4455
NR_130900	chr1	54519244	54578192	TCEANC2	202567
NM_007051	chr1	50906934	51425936	FAF1	54331
NM_015306	chr1	55532031	55681039	USP24	153363
NM_153035	chr1	54519244	54567321	TCEANC2	202567
NM_001193617	chr1	53392900	53517289	SCP2	49620
NM_001353983	chr1	57460450	57890593	DAB1	74753
NM_002867	chr1	52373627	52456436	RAB3B	82332
NM_021080	chr1	57460450	58716219	DAB1	74753
NM_001193600	chr1	53392900	53517289	SCP2	49620
NM_001193599	chr1	53392900	53517289	SCP2	49620
NM_002979	chr1	53392900	53517289	SCP2	49620
NM_001353985	chr1	57460450	57890092	DAB1	74753
NM_001353986	chr1	57460450	57889763	DAB1	74753
NM_001353980	chr1	57609671	58716219	DAB1	74753
NR_045147	chr1	63906440	63988944	ITGB3BP	80922
NM_001350798	chr1	59762309	60228402	FGGY	152381
NM_020925	chr1	64936475	65158741	CACHD1	154125
NM_001293274	chr1	64971596	65158741	CACHD1	154125
NM_001206739	chr1	63906440	63988944	ITGB3BP	80922
NM_018291	chr1	59762624	60228402	FGGY	152381
NM_002303	chr1	65886334	66103176	LEPR	49932
