Symbol	Bed chr (hg19)	start	end	chr locus	Annotator	Date updated	Origin	Expansion of gene name	Known function of gene	Variant type	Hom or Het	Variant chr	Variant start	Variant end	Call	Literature 1 (Title; PMID; Lit score)	Literature 2 (Title; PMID; Lit score)	Literature 3 (Title; PMID; Lit score)	Literature 4 (Title; PMID; Lit score)	Literature 5 (Title; PMID; Lit score)	Literature 6 (Title; PMID; Lit score)	Literature 7 (Title; PMID; Lit score)	Free text comments		Pathway
NOC2L	chr1	879582	894679	1p36.33			Index gene	NOC2 like nucleolar associated transcriptional repressor																	
AGRN	chr1	955502	991499	1p36.33			Index gene	agrin																	
SDF4	chr1	1152287	1167447	1p36.33			Index gene	stromal cell derived factor 4																	
UBE2J2	chr1	1189291	1209234	1p36.33			Index gene	ubiquitin conjugating enzyme E2 J2																	
ACAP3	chr1	1227763	1243269	1p36.33			Index gene	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3																	
CPSF3L	chr1	1246964	1260067	#N/A			Index gene	#N/A																	
CPTP	chr1	1260142	1264276	1p36.33			Index gene	ceramide-1-phosphate transfer protein																	
DVL1	chr1	1270657	1284492	1p36.33			Index gene	dishevelled segment polarity protein 1																	
AURKAIP1	chr1	1309109	1310818	1p36.33			Index gene	aurora kinase A interacting protein 1																	
MRPL20	chr1	1337275	1342693	1p36.33			Index gene	mitochondrial ribosomal protein L20																	
TMEM240	chr1	1470157	1475740	1p36.33			Index gene	transmembrane protein 240																	
SSU72	chr1	1477052	1510262	1p36.33			Index gene	SSU72 homolog, RNA polymerase II CTD phosphatase																	
CDK11B	chr1	1570602	1655859	1p36.33			Index gene	cyclin dependent kinase 11B																	
NADK	chr1	1682670	1711508	1p36.33			Index gene	NAD kinase																	
GNB1	chr1	1716723	1822556	1p36.33			Index gene	G protein subunit beta 1																	
PRKCZ	chr1	1981908	2116834	1p36.33	KH	8/30/2017	Index gene	protein kinase C zeta		1	Het				VOUS	PRKCZ mice have normal learning and memory; PMID: 23283171; 2	Microarray analysis of 50 patients reveals the critical chromosomal regions responsible for 1p36 deletion syndrome-related complications;  PMID: 25172301; 2 								
PRKCZ	chr1	1981908	2116834	1p36.33	KH	8/30/2017	Index gene	protein kinase C zeta		3	Het				VOUS										
FAAP20	chr1	2115898	2144159	1p36.33			Index gene	Fanconi anemia core complex associated protein 20																	
SKI	chr1	2160133	2241652	1p36.33-p36.32	KH	8/30/2017	Index gene	SKI proto-oncogene		1	Het				P	The SMAD-binding domain of SKI: a hotspot for de novo mutations causing Shprintzen-Goldberg syndrome; PMID: 24736733; 1	576 kb deletion in 1p36.33-p36.32 containing SKI is associated with limb malformation, congenital heart disease and epilepsy; PMID: 23892090 ; 1	Shprintzen-Goldberg Syndrome; PMID: 20301454; 1					Het missense mutations sufficient to cause variable ID, craniofacial, skeletal, and cardiovascular features		Wnt; PMID: 14583455
SKI	chr1	2160133	2241652	1p36.33-p36.32	KH	8/30/2017	Index gene	SKI proto-oncogene		3	Het				VOUS										Wnt; PMID: 14583455
RER1	chr1	2323213	2336885	1p36.32	KH	8/30/2017	Index gene	retention in endoplasmic reticulum sorting receptor 1		1	Het				LP	RER1 related to Charcot Marie Tooth 1A; PMID: 25385046; 1	The sorting receptor Rer1 controls Purkinje cell function via voltage gated sodium channels; PMID: 28117367; 1	Retention in endoplasmic reticulum 1 (RER1) modulates amyloid-β (Aβ) production by altering trafficking of γ-secretase and amyloid precursor protein (APP); PMID: 23043097; 1							amyloid precursor protein; PMID: 23043097
RER1	chr1	2323213	2336885	1p36.32	KH	8/30/2017	Index gene	retention in endoplasmic reticulum sorting receptor 1		3	Het				VOUS										amyloid precursor protein; PMID: 23043097
